Alkon hinnasto 19.11.2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huom.! Hinnastojärjestyskoodilla saat tuoteryhmät takaisin hinnaston järjestykseen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Numero;Nimi;Valmistaja;Pullokoko;Hinta;Litrahinta;Uutuus;Hinnastojärjestyskoodi;Tyyppi;Alatyyppi;Erityisryhmä;Oluttyyppi;Valmistusmaa;Alue;Vuosikerta;Etikettimerkintöjä;Huomautus;Rypäleet;Luonnehdinta;Pakkaustyyppi;Suljentatyyppi;Alkoholi-%;Hapot g/l;Sokeri g/l;Kantavierrep-%;Väri EBC;Katkerot EBU;Energia kcal/100 ml;Valikoima;EAN
446837;BenMarco Malbec 2020;Dominio del Plata;0,75 l;23.98;31.84;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2020;Valle de Uco;;Malbec, ;Täyteläinen, tanniininen, herukkainen, karhunvatukkainen, kirsikkainen, pippurinen, kaakaoinen;pullo;luonnonkorkki;14.5;5.6;0;;;;80.0;vakiovalikoima;7798068480539
935176;Bodega Vistalba Arido Malbec 2017;Bodega Vistalba;0,75 l;15.50;20.67;;110;punaviinit;Mehevä & Hilloinen;ympäristövastuullinen pakkaus;;Argentiina;Mendoza;2017;Mendoza;;Malbec, ;Täyteläinen, keskitanniininen, karhunvatukkahilloinen, kirsikkainen, nahkainen;pullo;metallinen kierrekapseli;14.5;4.8;2;;;;80.0;tilausvalikoima;7798121940406
004551;Caballo de Mendoza;Altia;0,75 l;8.99;11.85;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;;Mendoza;;Cabernet, Sangiovese, Malbec, ;Täyteläinen, keskitanniininen, tumman kirsikkainen, karpaloinen, luumuinen, yrttinen, mausteinen;pullo;metallinen kierrekapseli;14.0;5.3;0;;;;80.0;vakiovalikoima;6412700455150
487307;Cameleon Organic Cabernet Sauvignon 2022;Domaine Bousquet;0,75 l;12.98;17.17;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2022;Tupungato;;Cabernet Sauvignon, ;Keskitäyteläinen, keskitanniininen, mustaherukkainen, hapankirsikkainen, karhunvatukkainen, yrttinen, paahteinen;pullo;metallinen kierrekapseli;14.0;5.1;0;;;;80.0;vakiovalikoima;7798101650585
931718;Caro 2015;Bodegas Caro;0,75 l;54.98;73.31;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2015;Mendoza;Saattaa sisältää sakkaa;Malbec, Cabernet Sauvignon, ;Täyteläinen, tanniininen, luumuinen, mokkainen, setrinen;pullo;luonnonkorkki;14.0;5.0;2;;;;80.0;tilausvalikoima;7798121461000
411547;Carrascal Cabernet Sauvignon Malbec Organic 2021;Bodega Y Cavas de Weinert;0,75 l;11.99;15.85;;110;punaviinit;Roteva & Voimakas;;;Argentiina;Mendoza;2021;Mendoza;;Cabernet Sauvignon, Malbec, ;Täyteläinen, tanniininen, karhunvatukkainen, tumman kirsikkainen, mustaherukkainen, lakritsinen, mausteinen, kevyen tamminen;pullo;metallinen kierrekapseli;14.0;5.2;4;;;;80.0;vakiovalikoima;7790417902495
499467;Carrascal Syrah 2019;Bodega Y Cavas Weinert;0,75 l;13.99;18.52;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;Mendoza;Saattaa sisältää sakkaa;Syrah, ;Täyteläinen, keskitanniininen, boysenmarjainen, luumuinen, kaakaoinen, kevyen neilikkainen, tamminen;pullo;luonnonkorkki;13.5;5.4;0;;;;80.0;vakiovalikoima;7790417902624
930018;Catena Alta Cabernet Sauvignon 2019;Catena Zapata;0,75 l;41.99;55.85;;110;punaviinit;Mehevä & Hilloinen;;;Argentiina;Mendoza;2019;Mendoza;;Cabernet Sauvignon, ;Täyteläinen, tanniininen, boysenmarjainen, eukalyptuksinen, mustaherukkainen;pullo;luonnonkorkki;13.5;4.9;4;;;;80.0;tilausvalikoima;7794450008220
438717;Catena Cabernet Sauvignon 2015;Catena Zapata;0,75 l;17.98;23.84;;110;punaviinit;Vivahteikas & Kehittynyt;;;Argentiina;Mendoza;2015;Mendoza;;Cabernet Sauvignon, Cabernet Franc, Petit Verdot, ;Täyteläinen, tanniininen, hapankirsikkainen, herukkainen, kevyen lääkeyrttinen, hennon tamminen;pullo;luonnonkorkki;13.0;4.6;0;;;;70.0;vakiovalikoima;7794450002570
906487;Catena Malbec 2020;Bodega Catena Zapata;0,75 l;19.99;26.65;;110;punaviinit;Roteva & Voimakas;kestävän kehityksen sertifiointi;;Argentiina;Mendoza;2020;Mendoza;;Malbec, ;Täyteläinen, tanniininen, mokkainen, mausteinen, marjainen;pullo;luonnonkorkki;13.5;5.3;2;;;;80.0;tilausvalikoima;7794450008053
